Chi-Square,Bhattacharyya
4.766822755336761475e-01,3.919844776587497193e-01
3.944182395935058594e-01,3.597759122456886671e-01
4.429194629192352295e-01,3.864255802808393980e-01
2.390117645263671875e-01,2.572708324661168167e-01
2.208925485610961914e-01,2.455279783251388681e-01
1.944857388734817505e-01,2.331243230649807929e-01
1.990564614534378052e-01,2.309294374978201614e-01
4.170322120189666748e-01,3.689952645974354239e-01
2.721063196659088135e-01,2.964158069543698648e-01
3.389028012752532959e-01,3.233599438070124399e-01
3.072819709777832031e-01,3.022584881411072288e-01
4.750609397888183594e-01,4.092092879716316411e-01
2.220737487077713013e-01,2.528574974306398437e-01
2.302431464195251465e-01,2.542313185649538454e-01
3.665656745433807373e-01,3.481288644960849332e-01
2.900036871433258057e-01,3.153105532857480298e-01
7.060453295707702637e-01,4.981624886709714595e-01
7.988283634185791016e-01,5.478267947763471035e-01
6.547952294349670410e-01,5.079095136921661924e-01
3.779971301555633545e-01,3.589005511166125095e-01
3.916080296039581299e-01,3.505170658596678535e-01
5.847973823547363281e-01,4.464746439037460823e-01
7.494679093360900879e-01,5.330431576723361209e-01
6.732855439186096191e-01,4.897093548935961826e-01
8.044815063476562500e-01,5.599377855768681300e-01
7.941274642944335938e-01,5.526401485578449346e-01
6.963593959808349609e-01,5.061619076217677149e-01
3.710834980010986328e-01,3.471600081100365554e-01
5.314096808433532715e-01,4.295579529588224865e-01
2.958932816982269287e-01,3.326784117987464096e-01
5.453317761421203613e-01,4.451472454599054163e-01
3.423908650875091553e-01,3.374669734581914327e-01
4.239545762538909912e-01,3.916623292026206182e-01
4.780235588550567627e-01,4.035198421572005478e-01
4.368816316127777100e-01,3.893861347055962985e-01
5.609138607978820801e-01,4.382231396787585886e-01
5.285748839378356934e-01,4.228664967297902089e-01
9.878778457641601562e-01,6.341392922483323202e-01
9.739277958869934082e-01,6.326651893809779326e-01
5.435405373573303223e-01,4.580619409462696745e-01
5.346202850341796875e-01,4.483138260818502197e-01
5.095773339271545410e-01,4.291942508230001674e-01
4.615750312805175781e-01,4.123509383492416913e-01
9.805662035942077637e-01,6.481708395675928047e-01
1.018775820732116699e+00,6.590421410174444050e-01
7.594228386878967285e-01,5.595664418399425299e-01
6.077833771705627441e-01,4.822573976044950972e-01
6.759264469146728516e-01,5.078458035874092724e-01
4.964479207992553711e-01,4.259506226411991503e-01
6.946083903312683105e-01,5.024851527385697514e-01
8.044815063476562500e-01,5.599377855768681300e-01
7.941274642944335938e-01,5.526401485578449346e-01
6.963593959808349609e-01,5.061619076217677149e-01
4.513881206512451172e-01,3.900832194077001880e-01
4.268342554569244385e-01,3.778740985627467297e-01
4.318962097167968750e-01,3.810331555063721787e-01
3.839169442653656006e-01,3.493864653182774949e-01
3.978626728057861328e-01,3.589587099987101015e-01
4.353563487529754639e-01,3.831028184559543415e-01
5.055347681045532227e-01,4.195344877269572836e-01
2.880432903766632080e-01,3.000253854297805223e-01
3.282222449779510498e-01,3.257409835895812011e-01
1.185601592063903809e+00,7.154955222582394248e-01
1.252819895744323730e+00,7.323073030990276955e-01
8.624422550201416016e-01,5.815621484697172106e-01
1.191228985786437988e+00,7.108654923611782417e-01
4.049644470214843750e-01,3.897346523992359923e-01
5.189445614814758301e-01,4.437506645515128523e-01
1.220694482326507568e-01,1.907940489016166641e-01
6.695879101753234863e-01,4.935837327683718634e-01
4.720390737056732178e-01,4.048802216114062991e-01
2.673662900924682617e-01,2.868136849691940715e-01
3.363043367862701416e-01,3.310093872886306632e-01
3.706521689891815186e-01,3.635468073853231896e-01
6.295186281204223633e-01,4.676444656261380950e-01
3.980817794799804688e-01,3.667945128049119874e-01
3.243586719036102295e-01,3.051246157209051013e-01
3.687601387500762939e-01,3.627288166174926221e-01
3.640246391296386719e-01,3.314404271410486547e-01
2.987007200717926025e-01,3.160456430838078368e-01
3.752471506595611572e-01,3.527838876415849700e-01
7.384300231933593750e-01,5.275792776861389921e-01
5.508542656898498535e-01,4.444578515121432871e-01
5.232686996459960938e-01,4.318681864320625396e-01
2.579945325851440430e-01,2.797643885799693808e-01
4.277262985706329346e-01,3.800838566609499591e-01
5.409837365150451660e-01,4.460158952828086054e-01
3.480394184589385986e-01,3.405318361342373756e-01
3.529607355594635010e-01,3.470676568444302501e-01
3.961922228336334229e-01,3.510302543675399289e-01
2.873086631298065186e-01,2.879781503941008514e-01
2.742603123188018799e-01,2.906426531556752235e-01
4.729192554950714111e-01,4.033238915611737085e-01
3.137564361095428467e-01,3.508368890847767818e-01
3.000985383987426758e-01,3.023812334644574995e-01
2.474375218152999878e-01,2.699300155444628313e-01
6.145465373992919922e-01,4.852090830500088714e-01
3.887446820735931396e-01,3.650021638945887825e-01
3.321506679058074951e-01,3.313007374912323999e-01
3.961541652679443359e-01,3.560870599908816381e-01
6.749565005302429199e-01,5.028926302870172504e-01
6.687808632850646973e-01,4.975942337699048590e-01
4.553912580013275146e-01,3.929823339587453224e-01
6.639096736907958984e-01,5.122039101513021775e-01
7.616602778434753418e-01,5.353212059625538366e-01
6.554729342460632324e-01,4.845740650018397488e-01
6.983875632286071777e-01,5.080880861201160226e-01
5.880328416824340820e-01,4.614767281594384651e-01
4.190287888050079346e-01,3.810469116488009456e-01
4.214394986629486084e-01,3.844429538741747088e-01
9.795820713043212891e-01,6.551885245302319083e-01
5.155529379844665527e-01,4.186463493026868488e-01
6.751220822334289551e-01,4.973832371550903630e-01
2.348196059465408325e-01,2.583361085768780541e-01
7.329408526420593262e-01,5.214850408762102818e-01
6.979374289512634277e-01,5.099633543668132818e-01
6.820073723793029785e-01,5.077469183695543231e-01
2.728117406368255615e-01,2.981266837288568672e-01
1.717698723077774048e-01,2.449551199948759306e-01
1.085595607757568359e+00,6.937574280436361596e-01
6.989583969116210938e-01,5.114040107912566357e-01
4.664597809314727783e-01,4.149291062740008695e-01
3.816587924957275391e-01,3.692317605479031317e-01
5.891276001930236816e-01,4.661569328677615531e-01
5.806878805160522461e-01,4.578129475475027355e-01
2.512138187885284424e-01,2.692230145853133361e-01
2.887893915176391602e-01,2.982596680466780836e-01
3.223536908626556396e-01,3.025696134774687462e-01
3.728329837322235107e-01,3.505285230389875717e-01
3.348694741725921631e-01,3.354031658518609738e-01
4.896299839019775391e-01,4.025723329946133133e-01
5.490551590919494629e-01,4.320206157062842500e-01
4.125002324581146240e-01,3.673722013689804666e-01
3.781774938106536865e-01,3.451029821084468097e-01
4.599031507968902588e-01,3.823261292577127546e-01
5.142301917076110840e-01,4.294036718066912006e-01
4.146293699741363525e-01,3.625106498888764350e-01
3.178407251834869385e-01,3.201436074966562129e-01
3.203614056110382080e-01,3.250619811753768240e-01
2.361385673284530640e-01,2.775571286269178373e-01
2.352058291435241699e-01,2.765302771411601301e-01
2.799517810344696045e-01,3.029120261901495081e-01
3.359726369380950928e-01,3.322767871532842920e-01
6.561416983604431152e-01,5.070515651315287142e-01
7.679418921470642090e-01,5.615710804630440478e-01
2.892138063907623291e-01,3.104926967529005322e-01
2.608759403228759766e-01,2.790282837339377320e-01
